sample_id,sample_name,consumer,expected_behavior,status,profile_id,symbol,contract,period,market_data_file_id,data_version,binding_snapshot_hash,quality_policy,row_count,first_bar,last_bar,ohlcv_hash,trading_day,actual_continuous_mapping,source_interval,evidence_or_blocker
GQ03,JM continuous 1d,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,4199d1fc896f5653f232e13eb5b55ea3ec0a82dcf0d533a92cc80ccb0463b5ff,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,2e59709c67559b0b5876cfad8405a0f4d6b422e87dfddfaa9c0924dfad895305,unique,continuous:jm.MAIN,1m,lineage_token=ba1c79acc76136f0080fc9b9c7885a3f85f0440a87947ac09626096f8332d102
GQ03,JM continuous 1d,market_indicator,use bars immutable lineage,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,4199d1fc896f5653f232e13eb5b55ea3ec0a82dcf0d533a92cc80ccb0463b5ff,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,2e59709c67559b0b5876cfad8405a0f4d6b422e87dfddfaa9c0924dfad895305,unique,continuous:jm.MAIN,1m,EMA lineage equals bars; warm-up fixed to same file
GQ03,JM continuous 1d,backtest_resolver,resolve same immutable binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,4199d1fc896f5653f232e13eb5b55ea3ec0a82dcf0d533a92cc80ccb0463b5ff,passed_only,,,,,,continuous:jm.MAIN,1m,
GQ03,JM continuous 1d,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ03,JM continuous 1d,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,4199d1fc896f5653f232e13eb5b55ea3ec0a82dcf0d533a92cc80ccb0463b5ff,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,2e59709c67559b0b5876cfad8405a0f4d6b422e87dfddfaa9c0924dfad895305,unique,continuous:jm.MAIN,1m,exact bars hash equals Market
GQ04,JM continuous 1w,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,b902efde71eae46cdb1fcfbd6936795431cc94f82a81e09cd717eb9912803f3d,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,fe09215ab210035096408baf7039b1c54bb720ec6229926f512311c812977298,unique,continuous:jm.MAIN,1w,lineage_token=429f74d1770fb1c6f8b600aa89c9ac2366a2df981838a3a802902465d7f34ac6
GQ04,JM continuous 1w,market_indicator,use bars immutable lineage,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,b902efde71eae46cdb1fcfbd6936795431cc94f82a81e09cd717eb9912803f3d,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,fe09215ab210035096408baf7039b1c54bb720ec6229926f512311c812977298,unique,continuous:jm.MAIN,1w,EMA lineage equals bars; warm-up fixed to same file
GQ04,JM continuous 1w,backtest_resolver,resolve same immutable binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,b902efde71eae46cdb1fcfbd6936795431cc94f82a81e09cd717eb9912803f3d,passed_only,,,,,,continuous:jm.MAIN,1w,
GQ04,JM continuous 1w,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ04,JM continuous 1w,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,b902efde71eae46cdb1fcfbd6936795431cc94f82a81e09cd717eb9912803f3d,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,fe09215ab210035096408baf7039b1c54bb720ec6229926f512311c812977298,unique,continuous:jm.MAIN,1w,exact bars hash equals Market
GQ05,JM actual dominant 1m,market_research_bars,resolve passed primary binding,PASS,intraday_research_v1,jm,JM2609,1m,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,4971d540251d0c9ca5e90325451d90fdec6f55f5d32a9ffbe5d050e9a737d19a,passed_only,915,2026-07-08T09:01:00,2026-07-10T15:00:00,98e5859c5b8273afc96ad36957ed6786855b5b0dc86dde683f79b3626d34c31e,duplicate,actual:JM2609,1m,lineage_token=aa3885d95edabcb2dc96b76ed5a2573d5f23dbc508045f7d0a2561fc4c9b58eb
GQ05,JM actual dominant 1m,market_indicator,use bars immutable lineage,PASS,intraday_research_v1,jm,JM2609,1m,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,4971d540251d0c9ca5e90325451d90fdec6f55f5d32a9ffbe5d050e9a737d19a,passed_only,915,2026-07-08T09:01:00,2026-07-10T15:00:00,98e5859c5b8273afc96ad36957ed6786855b5b0dc86dde683f79b3626d34c31e,duplicate,actual:JM2609,1m,EMA lineage equals bars; warm-up fixed to same file
GQ05,JM actual dominant 1m,backtest_resolver,resolve same immutable binding,PASS,intraday_research_v1,jm,JM2609,1m,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,4971d540251d0c9ca5e90325451d90fdec6f55f5d32a9ffbe5d050e9a737d19a,passed_only,,,,,,actual:JM2609,1m,
GQ05,JM actual dominant 1m,signal_source,actual confirmed source,PASS,intraday_research_v1,jm,JM2609,1m,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,4971d540251d0c9ca5e90325451d90fdec6f55f5d32a9ffbe5d050e9a737d19a,passed_only,,,,,,actual:JM2609,1m,historical confirmed bar and mapping verified
GQ05,JM actual dominant 1m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,jm,JM2609,1m,103923,actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1,4971d540251d0c9ca5e90325451d90fdec6f55f5d32a9ffbe5d050e9a737d19a,passed_only,915,2026-07-08T09:01:00,2026-07-10T15:00:00,98e5859c5b8273afc96ad36957ed6786855b5b0dc86dde683f79b3626d34c31e,duplicate,actual:JM2609,1m,exact bars hash equals Market
GQ06,old product full-history 1m,market_research_bars,resolve passed primary binding,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,1b33cc3b8f71d0fc741befddeab222fa4850574488b6da8f8260974045953926,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,132c74d224854cafc8a59eab5e5f820472067181771852540360c4b1b01be662,duplicate,continuous:al.MAIN,1m,lineage_token=f3bf955fcb3fd559f0b7a61eeccf5b952b95f900c145e5068f715d9519038cf5
GQ06,old product full-history 1m,market_indicator,use bars immutable lineage,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,1b33cc3b8f71d0fc741befddeab222fa4850574488b6da8f8260974045953926,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,132c74d224854cafc8a59eab5e5f820472067181771852540360c4b1b01be662,duplicate,continuous:al.MAIN,1m,EMA lineage equals bars; warm-up fixed to same file
GQ06,old product full-history 1m,backtest_resolver,resolve same immutable binding,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,1b33cc3b8f71d0fc741befddeab222fa4850574488b6da8f8260974045953926,passed_only,,,,,,continuous:al.MAIN,1m,
GQ06,old product full-history 1m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,al,al.MAIN,1m,,,,,,,,,,continuous:al.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ06,old product full-history 1m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,1b33cc3b8f71d0fc741befddeab222fa4850574488b6da8f8260974045953926,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,132c74d224854cafc8a59eab5e5f820472067181771852540360c4b1b01be662,duplicate,continuous:al.MAIN,1m,exact bars hash equals Market
GQ07D,old product full-history 1d,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,al,al.MAIN,1d,82669,rqdata_al_standard_1d_20000104_20260711_v2,da1459d57058bdaeb015a7a7c46e18610ffc5432ac9dce241f48c89740fe4efc,passed_only,8,2000-01-05T00:00:00,2000-01-14T00:00:00,cf534a8afba352b375abc2d8c0e5e43e4dfd543a1e4f2a608683b5db4d8d383d,unique,continuous:al.MAIN,1m,lineage_token=034d1d45a64f89be48a89cf5c58a76290043f5c46b3714624cd1062ac9304b15
GQ07D,old product full-history 1d,market_indicator,use bars immutable lineage,PASS,long_horizon_daily_v1,al,al.MAIN,1d,82669,rqdata_al_standard_1d_20000104_20260711_v2,da1459d57058bdaeb015a7a7c46e18610ffc5432ac9dce241f48c89740fe4efc,passed_only,8,2000-01-05T00:00:00,2000-01-14T00:00:00,cf534a8afba352b375abc2d8c0e5e43e4dfd543a1e4f2a608683b5db4d8d383d,unique,continuous:al.MAIN,1m,EMA lineage equals bars; warm-up fixed to same file
GQ07D,old product full-history 1d,backtest_resolver,resolve same immutable binding,PASS,long_horizon_daily_v1,al,al.MAIN,1d,82669,rqdata_al_standard_1d_20000104_20260711_v2,da1459d57058bdaeb015a7a7c46e18610ffc5432ac9dce241f48c89740fe4efc,passed_only,,,,,,continuous:al.MAIN,1m,
GQ07D,old product full-history 1d,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,al,al.MAIN,1d,,,,,,,,,,continuous:al.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ07D,old product full-history 1d,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,al,al.MAIN,1d,82669,rqdata_al_standard_1d_20000104_20260711_v2,da1459d57058bdaeb015a7a7c46e18610ffc5432ac9dce241f48c89740fe4efc,passed_only,8,2000-01-05T00:00:00,2000-01-14T00:00:00,cf534a8afba352b375abc2d8c0e5e43e4dfd543a1e4f2a608683b5db4d8d383d,unique,continuous:al.MAIN,1m,exact bars hash equals Market
GQ07W,old product full-history 1w,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,3,2000-01-07T00:00:00,2000-01-21T00:00:00,d36075afea5206e602bb10040f3177584e8352f27f8a6c285d8e0695c0694b83,unique,continuous:al.MAIN,1w,lineage_token=347284df350b2e28d4bc687ce69f0f261231cf4c4ca93db03e69b1188736b670
GQ07W,old product full-history 1w,market_indicator,use bars immutable lineage,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,3,2000-01-07T00:00:00,2000-01-21T00:00:00,d36075afea5206e602bb10040f3177584e8352f27f8a6c285d8e0695c0694b83,unique,continuous:al.MAIN,1w,EMA lineage equals bars; warm-up fixed to same file
GQ07W,old product full-history 1w,backtest_resolver,resolve same immutable binding,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,,,,,,continuous:al.MAIN,1w,
GQ07W,old product full-history 1w,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,al,al.MAIN,1w,,,,,,,,,,continuous:al.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ07W,old product full-history 1w,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,3,2000-01-07T00:00:00,2000-01-21T00:00:00,d36075afea5206e602bb10040f3177584e8352f27f8a6c285d8e0695c0694b83,unique,continuous:al.MAIN,1w,exact bars hash equals Market
GQ08,first-week semantics,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,1,2000-01-07T00:00:00,2000-01-07T00:00:00,ed296e7111bac42b3ddb4ff0d7424518027dde279734048204601eb46afad95f,unique,continuous:al.MAIN,1w,lineage_token=347284df350b2e28d4bc687ce69f0f261231cf4c4ca93db03e69b1188736b670
GQ08,first-week semantics,market_indicator,use bars immutable lineage,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,1,2000-01-07T00:00:00,2000-01-07T00:00:00,ed296e7111bac42b3ddb4ff0d7424518027dde279734048204601eb46afad95f,unique,continuous:al.MAIN,1w,EMA lineage equals bars; warm-up fixed to same file
GQ08,first-week semantics,backtest_resolver,resolve same immutable binding,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,,,,,,continuous:al.MAIN,1w,
GQ08,first-week semantics,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,al,al.MAIN,1w,,,,,,,,,,continuous:al.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ08,first-week semantics,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,5dd9aee28ee10ecd0c4185219a0e48b5714a2c8b085c32e1da834e71e66474a4,passed_only,1,2000-01-07T00:00:00,2000-01-07T00:00:00,ed296e7111bac42b3ddb4ff0d7424518027dde279734048204601eb46afad95f,unique,continuous:al.MAIN,1w,exact bars hash equals Market
GQ09,quality warning browser,market_browser,warning visible and not research ready,PASS,,tf,tf.MAIN,1m,82792|71527,"rqdata_tf_standard_1m_20130906_20260711_v2, rqdata_tf_standard_1m_20200102_20260711_v2",,observation,255,2026-07-10T09:31:00,2026-07-10T15:15:00,e5230ed65a83e1ae72a66da8e9911bff765c27a7ce8d79e9f7d3ed214f7ee478,duplicate,continuous:tf.MAIN,1m,warning visible; strict_research_ready=false
GQ10,strict blocked sample,backtest_and_signal,warning/ineligible asset blocked,PASS,intraday_research_v1,fb,fb.MAIN,1d,,,,,,,,,,continuous:fb.MAIN,,BACKTEST_PROFILE_BINDING_MISSING; signal=profile_binding_missing
GQ11,cross-file conflict sample,market_browser,different values exposed with asset evidence,PASS,,sn,SN2608,1d,34384|43512,,,observation,,,,,,actual:SN2608,1d|1m,cross_file_conflicts=1; fields=open|low|volume
GQ12,Profile binding missing,market_backtest_signal,all strict consumers fail closed,PASS,intraday_research_v1,jm,JM2609,30m,,,,,,,,,,actual:JM2609,,MARKET_PROFILE_BINDING_MISSING;BACKTEST_PROFILE_BINDING_MISSING;profile_binding_missing

