queue_action_id,action_type,target_scope,source_residual_ids,product,contract_role,contract,period,physical_path,current_evidence,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
ACT-e28dc3f1800749b6,download_missing_actual_rank1_interval,al:AL0504:1d:2005-02-17:2005-03-07,"[""RES-e98fae1e44ebf05d""]",al,actual_contract,AL0504,1d,,"{""db_absent"":true,""expected_end"":""2005-03-07"",""expected_start"":""2005-02-17"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-c7e196462fbc136a,download_missing_actual_rank1_interval,al:AL0505:1d:2005-03-08:2005-03-17,"[""RES-704f48ee37a6156f""]",al,actual_contract,AL0505,1d,,"{""db_absent"":true,""expected_end"":""2005-03-17"",""expected_start"":""2005-03-08"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-41ddc14058b46eb0,download_missing_actual_rank1_interval,al:AL0506:1d:2005-03-18:2005-05-10,"[""RES-e2bdbbabe03d234e""]",al,actual_contract,AL0506,1d,,"{""db_absent"":true,""expected_end"":""2005-05-10"",""expected_start"":""2005-03-18"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-434f45d304d79b9b,download_missing_actual_rank1_interval,al:AL0507:1d:2005-05-11:2005-06-03,"[""RES-4063a9d93ac7b2b9""]",al,actual_contract,AL0507,1d,,"{""db_absent"":true,""expected_end"":""2005-06-03"",""expected_start"":""2005-05-11"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-aa6a0cfd6f195d34,download_missing_actual_rank1_interval,al:AL0508:1d:2005-06-06:2005-07-11,"[""RES-92e8ab9a282c2a2a""]",al,actual_contract,AL0508,1d,,"{""db_absent"":true,""expected_end"":""2005-07-11"",""expected_start"":""2005-06-06"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-cd890f8a0c186f4c,download_missing_actual_rank1_interval,al:AL0509:1d:2005-07-12:2005-08-01,"[""RES-e311bf6277eee1c8""]",al,actual_contract,AL0509,1d,,"{""db_absent"":true,""expected_end"":""2005-08-01"",""expected_start"":""2005-07-12"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-b84318d935890d6e,download_missing_actual_rank1_interval,al:AL0510:1d:2005-08-02:2005-09-16,"[""RES-bab9c20553b9a315""]",al,actual_contract,AL0510,1d,,"{""db_absent"":true,""expected_end"":""2005-09-16"",""expected_start"":""2005-08-02"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-f90bab110589a5ca,download_missing_actual_rank1_interval,al:AL0511:1d:2005-09-19:2005-10-11,"[""RES-59dbec7552159b5c""]",al,actual_contract,AL0511,1d,,"{""db_absent"":true,""expected_end"":""2005-10-11"",""expected_start"":""2005-09-19"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-c83f41a6a66694c8,download_missing_actual_rank1_interval,al:AL0601:1d:2005-10-12:2005-11-28,"[""RES-812c48c95a3472f0""]",al,actual_contract,AL0601,1d,,"{""db_absent"":true,""expected_end"":""2005-11-28"",""expected_start"":""2005-10-12"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-660f8bc33a4bc087,download_missing_actual_rank1_interval,al:AL0603:1d:2005-11-29:2006-01-10,"[""RES-f5a3fea30c4061db""]",al,actual_contract,AL0603,1d,,"{""db_absent"":true,""expected_end"":""2006-01-10"",""expected_start"":""2005-11-29"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-2966c12ae6d417ec,download_missing_actual_rank1_interval,al:AL0604:1d:2006-01-11:2006-02-06,"[""RES-504270c176c9a028""]",al,actual_contract,AL0604,1d,,"{""db_absent"":true,""expected_end"":""2006-02-06"",""expected_start"":""2006-01-11"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-9b7831206674d337,download_missing_actual_rank1_interval,al:AL0605:1d:2006-02-07:2006-03-20,"[""RES-78a9be2472a536b6""]",al,actual_contract,AL0605,1d,,"{""db_absent"":true,""expected_end"":""2006-03-20"",""expected_start"":""2006-02-07"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-11e2d524db580493,download_missing_actual_rank1_interval,al:AL0606:1d:2006-03-21:2006-04-12,"[""RES-389d717bb42b1d72""]",al,actual_contract,AL0606,1d,,"{""db_absent"":true,""expected_end"":""2006-04-12"",""expected_start"":""2006-03-21"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-51983b2f611535e1,download_missing_actual_rank1_interval,al:AL0607:1d:2006-04-13:2006-05-11,"[""RES-ea9ef02641d0fda7""]",al,actual_contract,AL0607,1d,,"{""db_absent"":true,""expected_end"":""2006-05-11"",""expected_start"":""2006-04-13"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-a1739f28dfc6ead6,download_missing_actual_rank1_interval,al:AL0608:1d:2006-05-12:2006-06-14,"[""RES-6a0642a083719a14""]",al,actual_contract,AL0608,1d,,"{""db_absent"":true,""expected_end"":""2006-06-14"",""expected_start"":""2006-05-12"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-e1cb7189cb6a025f,download_missing_actual_rank1_interval,al:AL0609:1d:2006-06-15:2006-07-13,"[""RES-1527a112eed82e9f""]",al,actual_contract,AL0609,1d,,"{""db_absent"":true,""expected_end"":""2006-07-13"",""expected_start"":""2006-06-15"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-457ac84e0a5dcb35,download_missing_actual_rank1_interval,al:AL0610:1d:2006-07-14:2006-08-21,"[""RES-c057a74dc2d006ec""]",al,actual_contract,AL0610,1d,,"{""db_absent"":true,""expected_end"":""2006-08-21"",""expected_start"":""2006-07-14"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-74c489bcba59f206,download_missing_actual_rank1_interval,al:AL0611:1d:2006-08-22:2006-09-26,"[""RES-92b6fa6ae3818aa2""]",al,actual_contract,AL0611,1d,,"{""db_absent"":true,""expected_end"":""2006-09-26"",""expected_start"":""2006-08-22"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-fcb954c9d75b7010,download_missing_actual_rank1_interval,al:AL0612:1d:2006-09-27:2006-10-23,"[""RES-28750bf23485cf13""]",al,actual_contract,AL0612,1d,,"{""db_absent"":true,""expected_end"":""2006-10-23"",""expected_start"":""2006-09-27"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-5bd6f9ed345dece4,download_missing_actual_rank1_interval,al:AL0701:1d:2006-10-24:2006-12-04,"[""RES-89a30b7902660c2b""]",al,actual_contract,AL0701,1d,,"{""db_absent"":true,""expected_end"":""2006-12-04"",""expected_start"":""2006-10-24"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-360a1c54c8d6530d,download_missing_actual_rank1_interval,al:AL0702:1d:2006-12-05:2006-12-27,"[""RES-32f4370c1d1c00af""]",al,actual_contract,AL0702,1d,,"{""db_absent"":true,""expected_end"":""2006-12-27"",""expected_start"":""2006-12-05"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-dcd59dd5b325d88e,download_missing_actual_rank1_interval,al:AL0703:1d:2006-12-28:2007-01-24,"[""RES-833e49b0a7311a8c""]",al,actual_contract,AL0703,1d,,"{""db_absent"":true,""expected_end"":""2007-01-24"",""expected_start"":""2006-12-28"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-82c4cd3bda0e53a1,download_missing_actual_rank1_interval,al:AL0704:1d:2007-01-25:2007-02-16,"[""RES-1188591b5abce448""]",al,actual_contract,AL0704,1d,,"{""db_absent"":true,""expected_end"":""2007-02-16"",""expected_start"":""2007-01-25"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-b08f09c69d04de43,download_missing_actual_rank1_interval,al:AL0705:1d:2007-02-26:2007-03-26,"[""RES-c3c4740f04485853""]",al,actual_contract,AL0705,1d,,"{""db_absent"":true,""expected_end"":""2007-03-26"",""expected_start"":""2007-02-26"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-dc4064cbe5dff0dc,download_missing_actual_rank1_interval,al:AL0706:1d:2007-03-27:2007-04-09,"[""RES-173126dd2cb0e94b""]",al,actual_contract,AL0706,1d,,"{""db_absent"":true,""expected_end"":""2007-04-09"",""expected_start"":""2007-03-27"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-008581cbd69e9849,download_missing_actual_rank1_interval,al:AL0707:1d:2007-04-10:2007-06-04,"[""RES-7e79a80809097694""]",al,actual_contract,AL0707,1d,,"{""db_absent"":true,""expected_end"":""2007-06-04"",""expected_start"":""2007-04-10"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-8ba91bf32e8984b2,download_missing_actual_rank1_interval,al:AL0708:1d:2007-06-05:2007-07-03,"[""RES-839dffd3d8f7054c""]",al,actual_contract,AL0708,1d,,"{""db_absent"":true,""expected_end"":""2007-07-03"",""expected_start"":""2007-06-05"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-84d9cd4c2ee8dc89,download_missing_actual_rank1_interval,al:AL0709:1d:2007-07-04:2007-07-25,"[""RES-c087738c5e898e86""]",al,actual_contract,AL0709,1d,,"{""db_absent"":true,""expected_end"":""2007-07-25"",""expected_start"":""2007-07-04"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-ffe907115252ce65,download_missing_actual_rank1_interval,al:AL0710:1d:2007-07-26:2007-08-17,"[""RES-ac1d14dd1a06e9ee""]",al,actual_contract,AL0710,1d,,"{""db_absent"":true,""expected_end"":""2007-08-17"",""expected_start"":""2007-07-26"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-1dbe105662a378f3,download_missing_actual_rank1_interval,al:AL0711:1d:2007-08-20:2007-09-18,"[""RES-9289dcd5e5af9f6d""]",al,actual_contract,AL0711,1d,,"{""db_absent"":true,""expected_end"":""2007-09-18"",""expected_start"":""2007-08-20"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-c6bc3d45e32c8f21,download_missing_actual_rank1_interval,al:AL0712:1d:2007-09-19:2007-10-25,"[""RES-3b196167e38995d7""]",al,actual_contract,AL0712,1d,,"{""db_absent"":true,""expected_end"":""2007-10-25"",""expected_start"":""2007-09-19"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-f0fc605c059d93d1,download_missing_actual_rank1_interval,al:AL0801:1d:2007-10-26:2007-12-04,"[""RES-144c6c0e8e55dfa0""]",al,actual_contract,AL0801,1d,,"{""db_absent"":true,""expected_end"":""2007-12-04"",""expected_start"":""2007-10-26"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-32cd18c98a2d7839,download_missing_actual_rank1_interval,al:AL0802:1d:2007-12-05:2007-12-24,"[""RES-ef28a8652e606fe2""]",al,actual_contract,AL0802,1d,,"{""db_absent"":true,""expected_end"":""2007-12-24"",""expected_start"":""2007-12-05"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-3ada99af0778116e,download_missing_actual_rank1_interval,al:AL0803:1d:2007-12-25:2008-01-25,"[""RES-d0bd9f06a7c61fe5""]",al,actual_contract,AL0803,1d,,"{""db_absent"":true,""expected_end"":""2008-01-25"",""expected_start"":""2007-12-25"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-e126c62d2a8124a3,download_missing_actual_rank1_interval,al:AL0804:1d:2008-01-28:2008-02-21,"[""RES-69bedbf4294be60d""]",al,actual_contract,AL0804,1d,,"{""db_absent"":true,""expected_end"":""2008-02-21"",""expected_start"":""2008-01-28"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
