product,contract_type,period,worst_status,segment_total,segment_gap_count,covered_count
m,roll,1w,missing_segment,68,45,23
ma,main,1d,covered,1,0,1
ma,main,1m,covered,1,0,1
ma,main,1w,covered,1,0,1
ma,roll,1d,missing_segment,35,7,28
ma,roll,1m,missing_segment,35,25,10
ma,roll,1w,missing_segment,35,23,12
ni,main,1d,covered,1,0,1
ni,main,1m,covered,1,0,1
ni,main,1w,covered,1,0,1
ni,roll,1d,missing_segment,93,1,92
ni,roll,1m,missing_segment,93,55,38
ni,roll,1w,missing_segment,93,50,43
nr,main,1d,covered,1,0,1
nr,main,1m,covered,1,0,1
nr,main,1w,covered,1,0,1
nr,roll,1d,covered,79,0,79
nr,roll,1m,missing_segment,79,37,42
nr,roll,1w,missing_segment,79,41,38
oi,main,1d,covered,1,0,1
oi,main,1m,covered,1,0,1
oi,main,1w,covered,1,0,1
oi,roll,1d,missing_segment,43,13,30
oi,roll,1m,missing_segment,43,31,12
oi,roll,1w,missing_segment,43,35,8
op,main,1d,covered,1,0,1
op,main,1m,covered,1,0,1
op,main,1w,covered,1,0,1
op,roll,1d,covered,9,0,9
op,roll,1m,covered,9,0,9
op,roll,1w,missing_segment,9,5,4
p,main,1d,covered,1,0,1
p,main,1m,partial_start,1,1,0
p,main,1w,covered,1,0,1
p,roll,1d,missing_segment,57,9,48
p,roll,1m,missing_segment,57,47,10
p,roll,1w,missing_segment,57,37,20
pb,main,1d,covered,1,0,1
pb,main,1m,covered,1,0,1
pb,main,1w,covered,1,0,1
pb,roll,1d,missing_segment,176,26,150
pb,roll,1m,missing_segment,176,134,42
pb,roll,1w,missing_segment,176,130,46
pd,main,1d,covered,1,0,1
pd,main,1m,covered,1,0,1
pd,main,1w,covered,1,0,1
pd,roll,1d,covered,2,0,2
pd,roll,1m,covered,2,0,2
pd,roll,1w,partial_segment,2,2,0
pf,main,1d,covered,1,0,1
pf,main,1m,covered,1,0,1
pf,main,1w,covered,1,0,1
pf,roll,1d,covered,49,0,49
pf,roll,1m,missing_segment,49,13,36
pf,roll,1w,missing_segment,49,29,20
pg,main,1d,covered,1,0,1
pg,main,1m,covered,1,0,1
pg,main,1w,covered,1,0,1
pg,roll,1d,covered,66,0,66
pg,roll,1m,missing_segment,66,28,38
pg,roll,1w,partial_segment,66,44,22
pk,main,1d,covered,1,0,1
pk,main,1m,covered,1,0,1
pk,main,1w,covered,1,0,1
pk,roll,1d,covered,22,0,22
pk,roll,1m,missing_segment,22,6,16
pk,roll,1w,partial_segment,22,10,12
pl,main,1d,covered,1,0,1
pl,main,1m,covered,1,0,1
pl,main,1w,covered,1,0,1
pl,roll,1d,covered,8,0,8
pl,roll,1m,covered,8,0,8
pl,roll,1w,missing_segment,8,7,1
pm,main,1d,covered,1,0,1
pm,main,1m,covered,1,0,1
pm,main,1w,covered,1,0,1
pm,roll,1d,missing_segment,56,17,39
pm,roll,1m,missing_segment,56,35,21
pm,roll,1w,missing_segment,56,37,19
pp,main,1d,covered,1,0,1
pp,main,1m,covered,1,0,1
pp,main,1w,covered,1,0,1
pp,roll,1d,missing_segment,38,1,37
pp,roll,1m,missing_segment,38,28,10
pp,roll,1w,missing_segment,38,23,15
pp_f,main,1d,covered,1,0,1
pp_f,main,1m,covered,1,0,1
pp_f,main,1w,covered,1,0,1
pp_f,roll,1d,covered,5,0,5
pp_f,roll,1m,covered,5,0,5
pp_f,roll,1w,missing_segment,5,4,1
pr,main,1d,covered,1,0,1
pr,main,1m,covered,1,0,1
pr,main,1w,covered,1,0,1
pr,roll,1d,covered,16,0,16
pr,roll,1m,covered,16,0,16
pr,roll,1w,missing_segment,16,8,8
ps,main,1d,covered,1,0,1
ps,main,1m,covered,1,0,1
ps,main,1w,covered,1,0,1
ps,roll,1d,covered,10,0,10
ps,roll,1m,covered,10,0,10
ps,roll,1w,partial_segment,10,7,3
pt,main,1d,covered,1,0,1
pt,main,1m,covered,1,0,1
pt,main,1w,covered,1,0,1
pt,roll,1d,covered,2,0,2
pt,roll,1m,covered,2,0,2
pt,roll,1w,partial_segment,2,1,1
px,main,1d,covered,1,0,1
px,main,1m,covered,1,0,1
px,main,1w,covered,1,0,1
px,roll,1d,covered,11,0,11
px,roll,1m,covered,11,0,11
px,roll,1w,partial_segment,11,8,3
rb,main,1d,covered,1,0,1
rb,main,1m,partial_start,1,1,0
rb,main,1w,covered,1,0,1
rb,roll,1d,missing_segment,56,17,39
rb,roll,1m,missing_segment,56,46,10
rb,roll,1w,missing_segment,56,37,19
ri,main,1d,covered,1,0,1
ri,main,1m,covered,1,0,1
ri,main,1w,covered,1,0,1
ri,roll,1d,missing_segment,52,16,36
ri,roll,1m,missing_segment,52,31,21
ri,roll,1w,missing_segment,52,35,17
rm,main,1d,covered,1,0,1
rm,main,1m,covered,1,0,1
rm,main,1w,covered,1,0,1
rm,roll,1d,missing_segment,43,13,30
rm,roll,1m,missing_segment,43,31,12
rm,roll,1w,missing_segment,43,32,11
rr,main,1d,covered,1,0,1
rr,main,1m,covered,1,0,1
rr,main,1w,covered,1,0,1
rr,roll,1d,covered,67,0,67
rr,roll,1m,missing_segment,67,30,37
rr,roll,1w,missing_segment,67,33,34
rs,main,1d,covered,1,0,1
rs,main,1m,covered,1,0,1
rs,main,1w,covered,1,0,1
rs,roll,1d,missing_segment,34,19,15
rs,roll,1m,missing_segment,34,26,8
rs,roll,1w,missing_segment,34,29,5
ru,main,1d,covered,1,0,1
ru,main,1m,partial_start,1,1,0
ru,main,1w,covered,1,0,1
ru,roll,1d,missing_segment,90,51,39
ru,roll,1m,missing_segment,90,80,10
ru,roll,1w,missing_segment,90,70,20
sa,main,1d,covered,1,0,1
sa,main,1m,covered,1,0,1
sa,main,1w,covered,1,0,1
sa,roll,1d,covered,20,0,20
sa,roll,1m,missing_segment,20,10,10
sa,roll,1w,partial_segment,20,6,14
sc,main,1d,covered,1,0,1
sc,main,1m,covered,1,0,1
sc,main,1w,covered,1,0,1
sc,roll,1d,missing_segment,93,1,92
sc,roll,1m,missing_segment,93,51,42
sc,roll,1w,missing_segment,93,60,33
sf,main,1d,covered,1,0,1
sf,main,1m,covered,1,0,1
sf,main,1w,covered,1,0,1
sf,roll,1d,missing_segment,61,12,49
sf,roll,1m,missing_segment,61,34,27
sf,roll,1w,missing_segment,61,39,22
sh,main,1d,covered,1,0,1
sh,main,1m,covered,1,0,1
sh,main,1w,covered,1,0,1
sh,roll,1d,covered,12,0,12
sh,roll,1m,covered,12,0,12
sh,roll,1w,partial_segment,12,7,5
si,main,1d,covered,1,0,1
si,main,1m,covered,1,0,1
si,main,1w,covered,1,0,1
si,roll,1d,covered,26,0,26
si,roll,1m,partial_segment,26,1,25
si,roll,1w,missing_segment,26,16,10
sm,main,1d,covered,1,0,1
sm,main,1m,covered,1,0,1
sm,main,1w,covered,1,0,1
sm,roll,1d,missing_segment,44,8,36
sm,roll,1m,missing_segment,44,26,18
sm,roll,1w,missing_segment,44,24,20
sn,main,1d,covered,1,0,1
sn,main,1m,covered,1,0,1
sn,main,1w,covered,1,0,1
sn,roll,1d,covered,90,0,90
sn,roll,1m,missing_segment,90,48,42
sn,roll,1w,partial_segment,90,60,30
sp,main,1d,covered,1,0,1
sp,main,1m,covered,1,0,1
sp,main,1w,covered,1,0,1
sp,roll,1d,covered,34,0,34
sp,roll,1m,missing_segment,34,20,14
sp,roll,1w,missing_segment,34,20,14
sr,main,1d,covered,1,0,1
sr,main,1m,partial_start,1,1,0
sr,main,1w,covered,1,0,1
sr,roll,1d,missing_segment,67,37,30
sr,roll,1m,missing_segment,67,55,12
sr,roll,1w,missing_segment,67,59,8
ss,main,1d,covered,1,0,1
ss,main,1m,covered,1,0,1
ss,main,1w,covered,1,0,1
ss,roll,1d,covered,71,0,71
ss,roll,1m,missing_segment,71,34,37
ss,roll,1w,partial_segment,71,37,34
t,main,1d,covered,1,0,1
t,main,1m,covered,1,0,1
t,main,1w,covered,1,0,1
t,roll,1d,covered,45,0,45
t,roll,1m,missing_segment,45,31,14
t,roll,1w,partial_segment,45,29,16
ta,main,1d,covered,1,0,1
ta,main,1m,partial_start,1,1,0
ta,main,1w,covered,1,0,1
ta,roll,1d,missing_segment,71,43,28
ta,roll,1m,missing_segment,71,61,10
ta,roll,1w,missing_segment,71,65,6
tf,main,1d,covered,1,0,1
tf,main,1m,covered,1,0,1
tf,main,1w,covered,1,0,1
tf,roll,1d,covered,52,0,52
tf,roll,1m,missing_segment,52,38,14
tf,roll,1w,partial_segment,52,32,20
tl,main,1d,covered,1,0,1
tl,main,1m,covered,1,0,1
tl,main,1w,covered,1,0,1
tl,roll,1d,covered,14,0,14
tl,roll,1m,covered,14,0,14
tl,roll,1w,partial_segment,14,9,5
ts,main,1d,covered,1,0,1
ts,main,1m,covered,1,0,1
ts,main,1w,covered,1,0,1
ts,roll,1d,covered,32,0,32
ts,roll,1m,missing_segment,32,18,14
ts,roll,1w,partial_segment,32,18,14
ur,main,1d,covered,1,0,1
ur,main,1m,covered,1,0,1
ur,main,1w,covered,1,0,1
ur,roll,1d,covered,22,0,22
ur,roll,1m,missing_segment,22,12,10
ur,roll,1w,partial_segment,22,11,11
v,main,1d,covered,1,0,1
v,main,1m,partial_start,1,1,0
v,main,1w,covered,1,0,1
v,roll,1d,missing_segment,54,4,50
v,roll,1m,missing_segment,54,44,10
v,roll,1w,partial_segment,54,37,17
v_f,main,1d,covered,1,0,1
v_f,main,1m,covered,1,0,1
v_f,main,1w,covered,1,0,1
v_f,roll,1d,covered,5,0,5
v_f,roll,1m,covered,5,0,5
v_f,roll,1w,missing_segment,5,4,1
wh,main,1d,covered,1,0,1
wh,main,1m,covered,1,0,1
wh,main,1w,covered,1,0,1
wh,roll,1d,missing_segment,47,14,33
wh,roll,1m,missing_segment,47,27,20
wh,roll,1w,missing_segment,47,30,17
wr,main,1d,covered,1,0,1
wr,main,1m,partial_start,1,1,0
wr,main,1w,covered,1,0,1
wr,roll,1d,missing_segment,74,23,51
wr,roll,1m,missing_segment,74,61,13
wr,roll,1w,missing_segment,74,59,15
y,main,1d,covered,1,0,1
y,main,1m,partial_start,1,1,0
y,main,1w,covered,1,0,1
y,roll,1d,missing_segment,63,15,48
y,roll,1m,missing_segment,63,53,10
y,roll,1w,missing_segment,63,41,22
zc,main,1d,covered,1,0,1
zc,main,1m,covered,1,0,1
zc,main,1w,covered,1,0,1
zc,roll,1d,missing_segment,65,7,58
zc,roll,1m,missing_segment,65,23,42
zc,roll,1w,missing_segment,65,36,29
zn,main,1d,covered,1,0,1
zn,main,1m,partial_start,1,1,0
zn,main,1w,covered,1,0,1
zn,roll,1d,missing_segment,230,77,153
zn,roll,1m,missing_segment,230,188,42
zn,roll,1w,missing_segment,230,165,65
