product,layer,actual_contract,start_date,end_date,reason
al,actual_1w_roll_segment,AL0509,2005-07-12,2005-08-01,"trading parameter gate failed for AL0509 on 2005-08-01: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0510,2005-08-02,2005-09-16,"trading parameter gate failed for AL0510 on 2005-09-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0511,2005-09-19,2005-10-11,"trading parameter gate failed for AL0511 on 2005-10-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0601,2005-10-12,2005-11-28,"trading parameter gate failed for AL0601 on 2005-11-28: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0603,2005-11-29,2006-01-10,"trading parameter gate failed for AL0603 on 2006-01-10: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0604,2006-01-11,2006-02-06,"trading parameter gate failed for AL0604 on 2006-02-06: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0605,2006-02-07,2006-03-20,"trading parameter gate failed for AL0605 on 2006-03-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0606,2006-03-21,2006-04-12,"trading parameter gate failed for AL0606 on 2006-04-12: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0607,2006-04-13,2006-05-11,"trading parameter gate failed for AL0607 on 2006-05-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0608,2006-05-12,2006-06-14,"trading parameter gate failed for AL0608 on 2006-06-14: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0609,2006-06-15,2006-07-13,"trading parameter gate failed for AL0609 on 2006-07-13: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0610,2006-07-14,2006-08-21,"trading parameter gate failed for AL0610 on 2006-08-21: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0611,2006-08-22,2006-09-26,"trading parameter gate failed for AL0611 on 2006-09-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0612,2006-09-27,2006-10-23,"trading parameter gate failed for AL0612 on 2006-10-23: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0701,2006-10-24,2006-12-04,"trading parameter gate failed for AL0701 on 2006-12-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0702,2006-12-05,2006-12-27,"trading parameter gate failed for AL0702 on 2006-12-27: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0703,2006-12-28,2007-01-24,"trading parameter gate failed for AL0703 on 2007-01-24: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0704,2007-01-25,2007-02-16,"trading parameter gate failed for AL0704 on 2007-02-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0705,2007-02-26,2007-03-26,"trading parameter gate failed for AL0705 on 2007-03-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0706,2007-03-27,2007-04-09,"trading parameter gate failed for AL0706 on 2007-04-09: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0707,2007-04-10,2007-06-04,"trading parameter gate failed for AL0707 on 2007-06-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0708,2007-06-05,2007-07-03,"trading parameter gate failed for AL0708 on 2007-07-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0709,2007-07-04,2007-07-25,"trading parameter gate failed for AL0709 on 2007-07-25: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0710,2007-07-26,2007-08-17,"trading parameter gate failed for AL0710 on 2007-08-17: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0711,2007-08-20,2007-09-18,"trading parameter gate failed for AL0711 on 2007-09-18: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0712,2007-09-19,2007-10-25,"trading parameter gate failed for AL0712 on 2007-10-25: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0801,2007-10-26,2007-12-04,"trading parameter gate failed for AL0801 on 2007-12-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0802,2007-12-05,2007-12-24,"trading parameter gate failed for AL0802 on 2007-12-24: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0803,2007-12-25,2008-01-25,"trading parameter gate failed for AL0803 on 2008-01-25: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0804,2008-01-28,2008-02-21,"trading parameter gate failed for AL0804 on 2008-02-21: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0805,2008-02-22,2008-03-18,"trading parameter gate failed for AL0805 on 2008-03-18: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0806,2008-03-19,2008-05-05,"trading parameter gate failed for AL0806 on 2008-05-05: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0807,2008-05-06,2008-05-26,"trading parameter gate failed for AL0807 on 2008-05-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0808,2008-05-27,2008-06-20,"trading parameter gate failed for AL0808 on 2008-06-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0809,2008-06-23,2008-08-04,"trading parameter gate failed for AL0809 on 2008-08-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0810,2008-08-05,2008-08-20,"trading parameter gate failed for AL0810 on 2008-08-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0811,2008-08-21,2008-09-17,"trading parameter gate failed for AL0811 on 2008-09-17: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0812,2008-09-18,2008-10-16,"trading parameter gate failed for AL0812 on 2008-10-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0901,2008-10-17,2008-11-20,"trading parameter gate failed for AL0901 on 2008-11-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0902,2008-11-21,2008-12-12,"trading parameter gate failed for AL0902 on 2008-12-12: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0903,2008-12-15,2009-01-16,"trading parameter gate failed for AL0903 on 2009-01-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0904,2009-01-19,2009-02-11,"trading parameter gate failed for AL0904 on 2009-02-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0905,2009-02-12,2009-03-13,"trading parameter gate failed for AL0905 on 2009-03-13: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0906,2009-03-16,2009-04-07,"trading parameter gate failed for AL0906 on 2009-04-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0907,2009-04-08,2009-05-04,"trading parameter gate failed for AL0907 on 2009-05-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0908,2009-05-05,2009-06-03,"trading parameter gate failed for AL0908 on 2009-06-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0909,2009-06-04,2009-07-03,"trading parameter gate failed for AL0909 on 2009-07-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0910,2009-07-06,2009-07-24,"trading parameter gate failed for AL0910 on 2009-07-24: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0911,2009-07-27,2009-08-24,"trading parameter gate failed for AL0911 on 2009-08-24: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0912,2009-08-25,2009-10-20,"trading parameter gate failed for AL0912 on 2009-10-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1001,2009-10-21,2009-11-16,"trading parameter gate failed for AL1001 on 2009-11-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1002,2009-11-17,2009-12-07,"trading parameter gate failed for AL1002 on 2009-12-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1003,2009-12-08,2009-12-29,"trading parameter gate failed for AL1003 on 2009-12-29: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1004,2009-12-30,2010-01-26,"trading parameter gate failed for AL1004 on 2010-01-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1005,2010-01-27,2010-03-05,"trading parameter gate failed for AL1005 on 2010-03-05: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1006,2010-03-08,2010-04-09,"trading parameter gate failed for AL1006 on 2010-04-09: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1007,2010-04-12,2010-05-17,"trading parameter gate failed for AL1007 on 2010-05-17: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1008,2010-05-18,2010-06-07,"trading parameter gate failed for AL1008 on 2010-06-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1009,2010-06-08,2010-07-16,"trading parameter gate failed for AL1009 on 2010-07-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1010,2010-07-19,2010-08-04,"trading parameter gate failed for AL1010 on 2010-08-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1011,2010-08-05,2010-09-01,"trading parameter gate failed for AL1011 on 2010-09-01: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1012,2010-09-02,2010-10-11,"trading parameter gate failed for AL1012 on 2010-10-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1101,2010-10-12,2010-11-05,"trading parameter gate failed for AL1101 on 2010-11-05: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1102,2010-11-08,2010-12-07,"trading parameter gate failed for AL1102 on 2010-12-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1103,2010-12-08,2011-01-12,"trading parameter gate failed for AL1103 on 2011-01-12: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1104,2011-01-13,2011-02-21,"trading parameter gate failed for AL1104 on 2011-02-21: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1105,2011-02-22,2011-03-31,"trading parameter gate failed for AL1105 on 2011-03-31: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1106,2011-04-01,2011-05-03,"trading parameter gate failed for AL1106 on 2011-05-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1107,2011-05-04,2011-06-07,"trading parameter gate failed for AL1107 on 2011-06-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1108,2011-06-08,2011-07-01,"trading parameter gate failed for AL1108 on 2011-07-01: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1109,2011-07-04,2011-07-20,"trading parameter gate failed for AL1109 on 2011-07-20: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1110,2011-07-21,2011-08-19,"trading parameter gate failed for AL1110 on 2011-08-19: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1111,2011-08-22,2011-09-23,"trading parameter gate failed for AL1111 on 2011-09-23: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1112,2011-09-26,2011-10-27,"trading parameter gate failed for AL1112 on 2011-10-27: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1201,2011-10-28,2011-11-22,"trading parameter gate failed for AL1201 on 2011-11-22: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1202,2011-11-23,2011-12-15,"trading parameter gate failed for AL1202 on 2011-12-15: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1203,2011-12-16,2012-01-11,"trading parameter gate failed for AL1203 on 2012-01-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1204,2012-01-12,2012-02-13,"trading parameter gate failed for AL1204 on 2012-02-13: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1205,2012-02-14,2012-03-29,"trading parameter gate failed for AL1205 on 2012-03-29: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1206,2012-03-30,2012-04-16,"trading parameter gate failed for AL1206 on 2012-04-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1207,2012-04-17,2012-05-03,"trading parameter gate failed for AL1207 on 2012-05-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1208,2012-05-04,2012-05-28,"trading parameter gate failed for AL1208 on 2012-05-28: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1209,2012-05-29,2012-06-26,"trading parameter gate failed for AL1209 on 2012-06-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1210,2012-06-27,2012-08-01,"trading parameter gate failed for AL1210 on 2012-08-01: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1211,2012-08-02,2012-09-10,"trading parameter gate failed for AL1211 on 2012-09-10: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1212,2012-09-11,2012-11-13,"trading parameter gate failed for AL1212 on 2012-11-13: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1301,2012-11-14,2012-12-14,"trading parameter gate failed for AL1301 on 2012-12-14: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1303,2012-12-17,2013-02-04,"trading parameter gate failed for AL1303 on 2013-02-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1305,2013-02-05,2013-03-07,"trading parameter gate failed for AL1305 on 2013-03-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL1306,2013-03-08,2013-05-06,"trading parameter gate failed for AL1306 on 2013-05-06: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
