sample_id,sample_name,consumer,expected_behavior,status,profile_id,symbol,contract,period,market_data_file_id,data_version,binding_snapshot_hash,quality_policy,row_count,first_bar,last_bar,ohlcv_hash,trading_day,actual_continuous_mapping,source_interval,evidence_or_blocker
GQ03,JM continuous 1d,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,13ed00751db13b02109c4e6fffb5d43e3fcd42d8cf35cc1871031ad90486074c,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,a64b8717cdf100d24f7edb58c4da21554ab7962003524558f92301ba749611c7,unique,continuous:jm.MAIN,,exact bars match
GQ04,JM continuous 1w,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,793ba8fa0c1a4d26638a095c20f8abe71149df1805075ec28398245007d085d8,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,6ba5a4476d45b88510071213443dd4e1991fa93adcf075072656848f9814a251,unique,continuous:jm.MAIN,,lineage token matches indicator
GQ04,JM continuous 1w,market_indicator,use bars lineage,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,793ba8fa0c1a4d26638a095c20f8abe71149df1805075ec28398245007d085d8,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,6ba5a4476d45b88510071213443dd4e1991fa93adcf075072656848f9814a251,unique,continuous:jm.MAIN,,lineage token matches bars
GQ04,JM continuous 1w,backtest_resolver,resolve same binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,793ba8fa0c1a4d26638a095c20f8abe71149df1805075ec28398245007d085d8,passed_only,,,,,continuous:jm.MAIN,,formal snapshot fixed
GQ04,JM continuous 1w,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ04,JM continuous 1w,review_lookup,load exact frozen file/window,PASS,long_horizon_daily_v1,jm,jm.MAIN,1w,79791,rqdata_jm_standard_1w_20130322_20260711_v2,793ba8fa0c1a4d26638a095c20f8abe71149df1805075ec28398245007d085d8,passed_only,6,2026-06-05T00:00:00,2026-07-10T00:00:00,6ba5a4476d45b88510071213443dd4e1991fa93adcf075072656848f9814a251,unique,continuous:jm.MAIN,,exact bars match
GQ05,JM actual dominant 1m,market_research_bars,resolve actual binding,FAIL,intraday_research_v1,jm,JM2609,1m,,,,,,,,,,actual:JM2609,,MARKET_PROFILE_BINDING_MISSING
GQ05,JM actual dominant 1m,market_indicator,use bars lineage,NOT_RUN,intraday_research_v1,jm,JM2609,1m,,,,,,,,,,actual:JM2609,,bars blocked
GQ05,JM actual dominant 1m,backtest_resolver,resolve actual binding,FAIL,intraday_research_v1,jm,JM2609,1m,,,,,,,,,,actual:JM2609,,BACKTEST_PROFILE_BINDING_MISSING
GQ05,JM actual dominant 1m,signal_source,actual confirmed source,FAIL,intraday_research_v1,jm,JM2609,1m,,,,,,,,,,actual:JM2609,,SIGNAL_PROFILE_BINDING_MISSING
GQ05,JM actual dominant 1m,review_lookup,load exact frozen file/window,NOT_RUN,intraday_research_v1,jm,JM2609,1m,,,,,,,,,,actual:JM2609,,no eligible frozen lineage
GQ06,old product full-history 1m,market_research_bars,resolve full-history binding,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,3bb713466aad94f84e9a053f472fb4c301a849266078a851f22b8fbfc820a8ce,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,79ee85089209e723072beb58f50e4e1cd305a9ab45ec1d6988df1ce93b6236f4,2010-01-04,continuous:al.MAIN,,bars indicator backtest review match
GQ06,old product full-history 1m,market_indicator,use bars lineage,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,3bb713466aad94f84e9a053f472fb4c301a849266078a851f22b8fbfc820a8ce,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,79ee85089209e723072beb58f50e4e1cd305a9ab45ec1d6988df1ce93b6236f4,2010-01-04,continuous:al.MAIN,,lineage matches bars
GQ06,old product full-history 1m,backtest_resolver,resolve same binding,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,3bb713466aad94f84e9a053f472fb4c301a849266078a851f22b8fbfc820a8ce,passed_only,,,,,continuous:al.MAIN,,formal snapshot fixed
GQ06,old product full-history 1m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,al,al.MAIN,1m,,,,,,,,,,continuous:al.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ06,old product full-history 1m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,al,al.MAIN,1m,82761,rqdata_al_standard_1m_20000104_20260711_v2,3bb713466aad94f84e9a053f472fb4c301a849266078a851f22b8fbfc820a8ce,passed_only,225,2010-01-04T09:01:00,2010-01-04T15:00:00,79ee85089209e723072beb58f50e4e1cd305a9ab45ec1d6988df1ce93b6236f4,2010-01-04,continuous:al.MAIN,,exact bars match
GQ07D,old product full-history 1d,all_applicable_strict_consumers,match binding and exact bars,PASS,long_horizon_daily_v1,al,al.MAIN,1d,82669,rqdata_al_standard_1d_20000104_20260711_v2,f15dbae3491de663bd793c827ff6f47ef0a4a9b0c56a5d05a37f9d39b1af59ce,passed_only,8,2000-01-05T00:00:00,2000-01-14T00:00:00,4b535fd1db0ebd1a3a936bd74f9c68650a2c3d80a6f8925c4f51ea26bfaad080,unique,continuous:al.MAIN,,Market bars indicator Backtest Review match; Signal .MAIN blocked
GQ07W,old product full-history 1w,all_applicable_strict_consumers,match binding and exact bars,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,6605431bafe2e26019c91fbfaf72d881cc228d836d350e301c721bc3a179c90f,passed_only,3,2000-01-07T00:00:00,2000-01-21T00:00:00,4a885159e4bd1984b7bcc38dfa175a53097fc8a32a9be90a806818c68d5c656a,unique,continuous:al.MAIN,,Market bars indicator Backtest Review match; Signal .MAIN blocked
GQ08,first-week semantics,all_applicable_strict_consumers,one first completed week,PASS,long_horizon_daily_v1,al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,6605431bafe2e26019c91fbfaf72d881cc228d836d350e301c721bc3a179c90f,passed_only,1,2000-01-07T00:00:00,2000-01-07T00:00:00,3aeda3011e0be0c05a43566472eefedf288c55a243b1af3e0a77351e1ce54565,2000-01-07,continuous:al.MAIN,,first complete week visible and unique
GQ09,quality warning browser,market_browser,warning visible and not research ready,FAIL,,tf,tf.MAIN,1m,82792,rqdata_tf_standard_1m_20130906_20260711_v2,,observation,255,2026-07-10T09:31:00,2026-07-10T15:15:00,a5a51890ba55136856f3758966f6d4e849ab32e5aa1243157311651476781e92,2026-07-10,continuous:tf.MAIN,,file is warning but API quality=unchecked; strict_research_ready=false
GQ10,strict blocked sample,backtest_resolver,warning or ineligible asset blocked,PASS,intraday_research_v1,tf,tf.MAIN,1m,,,,passed_only,,,,,continuous:tf.MAIN,,BACKTEST_PROFILE_QUALITY_BLOCKED
GQ11,cross-file conflict sample,market_browser,different values exposed with asset evidence,PASS,,sn,SN2608,1d,34384|43512,rq_acb_sn_SN2608_1d_20260401_20260707_v1|rq_acb_sn_SN2608_1d_20260624_20260707_v1,,observation,1,2026-06-29T15:00:00,2026-06-29T15:00:00,,2026-06-29,actual:SN2608,,cross_file_conflicts=1; fields=open|low|volume; two file IDs/checksums returned
GQ12,Profile binding missing,market_research_bars,fail closed,PASS,intraday_research_v1,jm,JM2609,1m,,,,passed_only,,,,,actual:JM2609,,MARKET_PROFILE_BINDING_MISSING
